Date,Open,High,Low,Close,Adj Close,Volume
2021-04-03,0.000000,1.260656,0.000000,0.889460,0.889460,7023338
2021-04-04,0.889366,0.911681,0.844010,0.872020,0.872020,29514994
2021-04-05,0.872926,0.934352,0.762992,0.793685,0.793685,180914998
2021-04-06,0.795580,0.856341,0.759998,0.836690,0.836690,131365600
2021-04-07,0.836508,0.987418,0.724589,0.817179,0.817179,305266028
2021-04-08,0.814675,0.826194,0.764902,0.798335,0.798335,149345518
2021-04-09,0.798204,0.802838,0.777978,0.786944,0.786944,37646824
2021-04-10,0.787069,0.849193,0.784841,0.838705,0.838705,62824311
2021-04-11,0.838753,0.849220,0.793952,0.800118,0.800118,114888045
2021-04-12,0.799881,0.802757,0.768222,0.768565,0.768565,50608971
2021-04-13,0.768771,0.794772,0.765874,0.783362,0.783362,56506058
2021-04-14,0.784644,0.810332,0.776695,0.806537,0.806537,35184572
2021-04-15,0.806768,0.820558,0.793708,0.811695,0.811695,31995715
2021-04-16,0.810950,0.816030,0.757079,0.788066,0.788066,17314487
2021-04-17,0.788402,0.806762,0.753105,0.766247,0.766247,22304176
2021-04-18,0.765568,0.766565,0.678072,0.739750,0.739750,44633190
2021-04-19,0.740154,0.755645,0.689755,0.712838,0.712838,25119017
2021-04-20,0.715374,0.825200,0.684902,0.821026,0.821026,91158567
2021-04-21,0.823888,0.878826,0.803515,0.863918,0.863918,57424654
2021-04-22,0.864928,0.914488,0.840253,0.861359,0.861359,106443282
2021-04-23,0.861406,0.876684,0.779470,0.876684,0.876684,62740813
2021-04-24,0.876982,0.878328,0.817036,0.838910,0.838910,34466465
2021-04-25,0.838403,0.881599,0.823114,0.867259,0.867259,25276088
2021-04-26,0.867290,0.920797,0.867290,0.918333,0.918333,62286521
2021-04-27,0.918260,0.932572,0.902464,0.918901,0.918901,98330853
2021-04-28,0.918956,0.946238,0.893140,0.939422,0.939422,75508215
2021-04-29,0.939671,0.952103,0.924343,0.945309,0.945309,68438581
2021-04-30,0.944835,0.958581,0.930980,0.952082,0.952082,55770503
2021-05-01,0.951965,0.970197,0.945553,0.962689,0.962689,48707705
