Date,Open,High,Low,Close,Adj Close,Volume
2018-10-06,1.029320,1.029320,0.989907,0.995377,0.995377,280720
2018-10-07,0.997531,1.005800,0.990535,1.001040,1.001040,75349
2018-10-08,0.999992,1.005960,0.993175,1.000440,1.000440,83887
2018-10-09,1.000810,1.021540,0.991077,1.000660,1.000660,71707
2018-10-10,0.994650,1.008780,0.992996,1.000540,1.000540,50836
2018-10-11,0.999385,1.028250,0.990929,0.997064,0.997064,158297
2018-10-12,1.001270,1.013310,0.985636,1.005000,1.005000,408806
2018-10-13,1.005060,1.011740,1.002000,1.008070,1.008070,30107
2018-10-14,1.006600,1.019480,1.003630,1.014040,1.014040,29209
2018-10-15,1.015240,1.145240,0.959797,1.028440,1.028440,512946
2018-10-16,1.027760,1.191130,1.013330,1.020530,1.020530,2052790
2018-10-17,1.022830,1.034800,1.008760,1.016340,1.016340,12545900
2018-10-18,1.020730,1.025710,1.004130,1.013320,1.013320,4024270
2018-10-19,1.013770,1.090410,1.007740,1.009310,1.009310,452735
2018-10-20,1.009690,1.017520,1.005920,1.011580,1.011580,982545
2018-10-21,1.011130,1.037070,1.007440,1.012130,1.012130,874604
2018-10-22,1.011220,1.032150,0.995165,1.002650,1.002650,2035450
2018-10-23,1.002550,1.016240,1.002310,1.011780,1.011780,3903410
2018-10-24,1.011880,1.016030,1.006020,1.009670,1.009670,2477350
2018-10-25,1.009190,1.015630,1.005940,1.012630,1.012630,1757160
2018-10-26,1.011160,1.019960,1.007410,1.011790,1.011790,2432660
2018-10-27,1.012020,1.018540,1.009730,1.012470,1.012470,1787840
2018-10-28,1.013330,1.025510,1.010230,1.019450,1.019450,3149280
2018-10-29,1.019110,1.033620,0.986738,1.011170,1.011170,5186730
2018-10-30,1.010830,1.017140,1.000500,1.003420,1.003420,1779430
2018-10-31,1.004900,1.007520,0.994785,0.994785,0.994785,5633990
2018-11-01,1.000350,1.067840,0.996152,1.005950,1.005950,6389860
2018-11-02,1.006020,1.006480,0.997215,1.002450,1.002450,7004320
2018-11-03,1.002580,1.003280,1.000700,1.002450,1.002450,3754370
2018-11-04,1.002230,1.007970,0.981566,0.987659,0.987659,2705160
2018-11-05,0.982718,1.009100,0.977706,0.999499,0.999499,2248250
2018-11-06,1.000450,1.007220,0.997066,1.004970,1.004970,4434370
2018-11-07,1.003250,1.008700,0.993234,1.000690,1.000690,6176500
2018-11-08,0.999839,1.006500,0.994630,0.998869,0.998869,11678800
2018-11-09,0.999345,1.007730,0.993451,1.004000,1.004000,2118810
2018-11-10,1.003260,1.014610,0.998226,1.008350,1.008350,2336780
2018-11-11,1.009150,1.017730,0.996343,1.012980,1.012980,3175490
2018-11-12,1.013680,1.020150,1.000960,1.005330,1.005330,2707310
2018-11-13,1.003690,1.012240,1.000730,1.011340,1.011340,2094580
2018-11-14,1.010660,1.180870,1.001070,1.012540,1.012540,2902070
2018-11-15,1.011780,1.028930,0.995998,1.019000,1.019000,3293580
2018-11-16,1.018260,1.022260,1.003080,1.007920,1.007920,6484180
2018-11-17,1.007280,1.013040,1.000950,1.007240,1.007240,7042920
2018-11-18,1.009370,1.017040,1.002190,1.013060,1.013060,4037410
2018-11-19,1.009130,1.013840,0.986528,1.007150,1.007150,7337050
2018-11-20,1.008400,1.022910,0.989062,1.009870,1.009870,11847300
2018-11-21,1.015320,1.040270,0.983395,1.022370,1.022370,13454200
2018-11-22,1.020940,1.029960,0.990627,0.999054,0.999054,3557520
2018-11-23,1.001490,1.024070,0.987404,1.004390,1.004390,7646740
2018-11-24,1.006440,1.020360,0.956261,0.993953,0.993953,3701220
2018-11-25,0.992790,1.031320,0.970734,0.991338,0.991338,10316700
2018-11-26,0.991811,1.019030,0.966072,0.997437,0.997437,3950910
2018-11-27,0.983703,1.019840,0.970668,0.986979,0.986979,10786300
2018-11-28,0.989150,1.053480,0.981848,0.993396,0.993396,17610500
2018-11-29,1.016701,1.042729,0.980539,1.023954,1.023954,15564131
2018-11-30,1.027412,1.030026,0.982584,1.014790,1.014790,16950658
2018-12-01,1.017028,1.027495,0.997836,1.014252,1.014252,12009910
2018-12-02,1.012359,1.033723,1.003298,1.014517,1.014517,1387434
2018-12-03,1.013425,1.019780,0.998595,1.001383,1.001383,1473200
2018-12-04,1.002839,1.017027,0.999548,1.013029,1.013029,1466691
2018-12-05,1.013358,1.013912,0.995891,0.999646,0.999646,1581109
2018-12-06,0.997190,1.007675,0.984583,0.984856,0.984856,1401547
2018-12-07,0.984059,1.032623,0.979180,1.026305,1.026305,1770460
2018-12-08,1.024575,1.026428,1.012346,1.021854,1.021854,2217177
2018-12-09,1.020760,1.032000,1.019702,1.026132,1.026132,2290544
2018-12-10,1.025948,1.029244,1.019218,1.024014,1.024014,1996139
2018-12-11,1.021226,1.029038,1.005687,1.008869,1.008869,1892202
2018-12-12,1.009738,1.017324,1.007963,1.010703,1.010703,1725511
2018-12-13,1.009878,1.010705,0.996944,1.001608,1.001608,1532046
2018-12-14,1.002144,1.006587,0.974316,0.985037,0.985037,18150803
2018-12-15,0.985804,0.995103,0.970689,0.984908,0.984908,18608029
2018-12-16,0.984759,1.013628,0.983888,0.996802,0.996802,30732981
2018-12-17,0.998075,1.096111,0.996455,1.079151,1.079151,29559287
2018-12-18,1.079363,1.127177,0.995791,1.127177,1.127177,35859122
2018-12-19,1.130653,1.152574,1.006539,1.018882,1.018882,38793127
2018-12-20,1.016421,1.123902,1.006015,1.015422,1.015422,35741018
2018-12-21,1.013370,1.023992,0.999061,1.006075,1.006075,38171374
2018-12-22,1.004983,1.018613,1.003109,1.013225,1.013225,18879709
2018-12-23,1.012400,1.023726,1.001616,1.010462,1.010462,28709170
