Date,Open,High,Low,Close,Adj Close,Volume
2020-08-27,0.861319,1.003347,0.860426,0.989394,0.989394,33094
2020-08-28,0.989296,1.012025,0.907007,0.974360,0.974360,13685
2020-08-29,0.974205,1.006709,0.904802,1.004490,1.004490,10148
2020-08-30,1.005015,1.102732,0.936713,1.026540,1.026540,14804
2020-08-31,1.026540,1.050395,0.986776,1.018639,1.018639,15699
2020-09-01,1.019246,1.019246,0.880884,0.944063,0.944063,12443
2020-09-02,0.942880,1.002998,0.892967,0.896062,0.896062,2457
2020-09-03,0.897156,0.988640,0.892533,0.920691,0.920691,12876
2020-09-04,0.921253,0.967214,0.917857,0.967214,0.967214,7709
2020-09-05,0.967161,0.977408,0.638787,0.917780,0.917780,16620
2020-09-06,0.917802,0.961988,0.883653,0.918253,0.918253,7175
2020-09-07,0.918231,0.991734,0.847007,0.986576,0.986576,5804
2020-09-08,0.987155,0.993367,0.903408,0.921835,0.921835,1106
2020-09-09,0.922226,1.004075,0.901287,0.966878,0.966878,2926
2020-09-10,0.966878,1.015512,0.966878,0.981065,0.981065,2297
2020-09-11,0.982283,1.009174,0.899422,1.007377,1.007377,5832
2020-09-12,1.007391,1.015470,0.999164,1.001257,1.001257,8166
2020-09-13,1.002289,1.007344,0.898633,0.901292,0.901292,5133
2020-09-14,0.901564,1.049109,0.900002,1.024052,1.024052,3423
2020-09-15,1.024052,1.036054,0.957667,0.986521,0.986521,1832
2020-09-16,0.986524,0.992644,0.928593,0.929246,0.929246,4285
2020-09-17,0.929371,1.073822,0.873354,0.989340,0.989340,3483
2020-09-18,0.988521,1.150173,0.925931,0.994540,0.994540,1377
2020-09-19,0.994540,1.119369,0.931451,1.025262,1.025262,5082
2020-09-20,1.026000,1.026000,0.981750,0.996631,0.996631,1348
2020-09-21,0.996631,1.006333,0.908981,0.997579,0.997579,9385
2020-09-22,0.997221,1.092433,0.980753,1.050582,1.050582,13072
2020-09-23,1.046211,1.055464,0.968799,0.970252,0.970252,8532
2020-09-24,0.970252,1.010878,0.967128,1.009940,1.009940,5221
2020-09-25,1.009939,1.047994,1.001522,1.019445,1.019445,298
2020-09-26,1.019445,1.106858,1.016203,1.029666,1.029666,6918
2020-09-27,1.029666,1.035707,0.999684,1.000028,1.000028,578
2020-09-28,1.000027,1.063150,0.998562,1.047129,1.047129,7843
2020-09-29,1.047128,1.047128,0.981618,0.982249,0.982249,4383
2020-09-30,0.982351,1.005945,0.977430,1.005481,1.005481,4393
2020-10-01,1.005396,1.007908,0.974412,0.976380,0.976380,552
2020-10-02,0.976379,1.001668,0.957025,0.997775,0.997775,2348
2020-10-03,0.998129,1.001528,0.997307,0.999853,0.999853,1712
2020-10-04,0.999858,0.999994,0.996431,0.998721,0.998721,1127
2020-10-05,0.998718,1.003876,0.927164,0.972791,0.972791,896
2020-10-06,0.972791,1.000033,0.972603,0.999846,0.999846,1529
2020-10-07,0.999846,1.327330,0.970101,1.309026,1.309026,37730
2020-10-08,1.309062,1.364725,0.999668,1.001387,1.001387,8278
2020-10-09,1.001460,1.020962,1.000902,1.017517,1.017517,3541
2020-10-10,1.017517,1.084404,0.993954,0.997332,0.997332,11959
2020-10-11,0.997332,1.007331,0.995044,0.998018,0.998018,23
2020-10-12,0.998018,1.053687,0.989667,1.046017,1.046017,914
2020-10-13,1.046015,1.046275,0.975534,0.985430,0.985430,12685
2020-10-14,0.985428,1.012042,0.981118,1.001598,1.001598,5530
2020-10-15,1.001598,1.003010,0.998178,1.001254,1.001254,1619
2020-10-16,1.001269,1.002164,0.998934,1.000755,1.000755,1181
2020-10-17,1.000755,1.000755,0.980235,0.983977,0.983977,513
2020-10-18,0.983982,1.005130,0.981472,1.004111,1.004111,9
2020-10-19,1.004111,1.006382,0.996016,1.000452,1.000452,833
2020-10-20,1.000470,1.005620,1.000126,1.000641,1.000641,1443
2020-10-21,1.000591,1.029484,0.999536,1.010846,1.010846,3588
2020-10-22,1.010846,1.066235,1.005132,1.024703,1.024703,2801
2020-10-23,1.024703,1.050165,0.996614,0.999215,0.999215,1481
2020-10-24,0.999215,1.001256,0.999192,1.001250,1.001250,648
2020-10-25,1.001250,1.011694,0.997364,0.997676,0.997676,2929
2020-10-26,0.997673,1.003454,0.973680,0.993489,0.993489,191
2020-10-27,0.993492,1.002658,0.993127,1.002658,1.002658,274
2020-10-28,1.002665,1.002691,0.935122,0.998418,0.998418,3466
2020-10-29,0.998400,1.003278,0.989488,0.994979,0.994979,462
2020-10-30,0.994965,0.998365,0.974870,0.992762,0.992762,219
2020-10-31,0.992771,1.002607,0.990894,0.995156,0.995156,230
2020-11-01,0.995165,0.996503,0.978010,0.993196,0.993196,28
2020-11-02,0.993218,1.049064,0.942954,0.984854,0.984854,1054
2020-11-03,0.984937,0.996866,0.956079,0.975581,0.975581,5931
2020-11-04,0.975667,1.026244,0.960911,1.008671,1.008671,3981
2020-11-05,1.008626,1.020627,1.004876,1.015330,1.015330,4963
2020-11-06,1.015380,1.084471,1.014806,1.024994,1.024994,6210
2020-11-07,1.025026,1.032085,0.991198,0.995251,0.995251,3254
2020-11-08,0.995484,1.030457,0.960343,0.972036,0.972036,448
2020-11-09,0.972116,0.993036,0.943089,0.988406,0.988406,1580
2020-11-10,0.988398,1.002761,0.984538,0.997386,0.997386,1984
2020-11-11,0.997500,1.070652,0.989336,1.053646,1.053646,1779
2020-11-12,1.053641,1.058182,0.999866,1.000687,1.000687,1926
2020-11-13,1.000717,1.016571,1.000625,1.016117,1.016117,4262
2020-11-14,1.016182,1.016692,0.997228,0.998244,0.998244,1329
2020-11-15,0.998256,0.999389,0.946890,0.999145,0.999145,5784
2020-11-16,0.999151,1.003358,0.998183,1.002615,1.002615,684
2020-11-17,1.003200,1.033633,1.002176,1.023317,1.023317,5205
2020-11-18,1.023310,1.034835,0.992070,1.000055,1.000055,9140
2020-11-19,0.999900,0.999900,0.973157,0.973674,0.973674,787
2020-11-20,0.973677,1.027178,0.968556,1.023347,1.023347,3130
2020-11-21,1.023323,1.060192,0.984996,1.043557,1.043557,5600
2020-11-22,1.043567,1.043567,0.977601,0.991789,0.991789,17606
2020-11-23,0.991749,1.032300,0.982714,1.002435,1.002435,14243
2020-11-24,1.002919,1.010496,0.992427,1.003967,1.003967,23223
2020-11-25,1.003968,1.004720,0.997069,0.997069,0.997069,86841
2020-11-26,0.997129,1.005610,0.976381,1.004230,1.004230,28337
2020-11-27,1.004291,1.009880,0.991679,1.009053,1.009053,10204
2020-11-28,1.009114,1.015853,1.000816,1.002194,1.002194,13149
2020-11-29,1.002142,1.015934,0.998477,1.015855,1.015855,5755
2020-11-30,1.015809,1.041245,0.996054,1.023499,1.023499,12334
2020-12-01,1.023638,1.033766,0.953067,0.985284,0.985284,6641
2020-12-02,0.985105,1.003498,0.952611,0.996830,0.996830,1031
2020-12-03,0.996849,1.034344,0.968910,1.024199,1.024199,2416
2020-12-04,1.024118,1.027298,0.964039,0.981725,0.981725,4298
2020-12-05,0.981591,1.008008,0.967966,0.991553,0.991553,739
2020-12-06,0.991544,1.020835,0.988241,1.013508,1.013508,3071
2020-12-07,1.013690,1.014736,0.949475,0.993955,0.993955,4623
2020-12-08,0.993928,0.998795,0.985044,0.993911,0.993911,15644
2020-12-09,0.993972,1.015852,0.988398,1.004266,1.004266,55311
2020-12-10,1.004306,1.005967,1.001214,1.004044,1.004044,26888
2020-12-11,1.004102,1.006125,0.981821,0.999801,0.999801,21542
2020-12-12,0.999771,1.007467,0.998931,1.000134,1.000134,14964
2020-12-13,1.000090,1.008724,0.961489,0.984768,0.984768,15588
2020-12-14,0.984746,1.001085,0.916024,1.000513,1.000513,9751
2020-12-15,1.000532,1.002360,0.945364,1.001776,1.001776,20172
2020-12-16,1.001759,1.050402,0.934350,1.005038,1.005038,36867
2020-12-17,1.005081,1.014361,0.976205,0.999442,0.999442,56036
2020-12-18,0.999399,1.094627,0.981120,1.002434,1.002434,258298
2020-12-19,1.002433,1.096027,0.973681,0.981639,0.981639,69566
2020-12-20,0.981590,1.001233,0.963145,0.996752,0.996752,13976
2020-12-21,0.996744,1.051767,0.988026,0.999250,0.999250,30152
2020-12-22,0.999125,1.008024,0.985437,1.007706,1.007706,12781
2020-12-23,1.007940,1.009678,0.975722,0.986187,0.986187,6927
2020-12-24,0.986128,1.320159,0.977698,1.319752,1.319752,9194
2020-12-25,1.319877,1.827145,1.169864,1.328730,1.328730,13982
