Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,0.998962,1.015920,0.998726,1.011220,1.011220,158628
2018-07-14,1.013030,1.017740,0.987349,1.005350,1.005350,209686
2018-07-15,1.005110,1.007300,0.995687,0.997726,0.997726,74221
2018-07-16,0.999145,1.001770,0.990044,1.001770,1.001770,41602
2018-07-17,1.004180,1.004180,0.982470,0.993395,0.993395,14597
2018-07-18,0.994172,1.005120,0.989043,1.004070,1.004070,142696
2018-07-19,1.002130,1.005630,0.993278,0.996656,0.996656,37717
2018-07-20,0.996653,1.005830,0.618295,0.986830,0.986830,112531
2018-07-21,0.986500,1.004530,0.978615,0.989934,0.989934,14394
2018-07-22,0.989934,1.004010,0.979886,0.980700,0.980700,7731
2018-07-23,0.980337,1.001950,0.951895,0.988061,0.988061,4697
2018-07-24,0.988620,1.019920,0.867666,0.997984,0.997984,17893
2018-07-25,0.989350,0.998584,0.870576,0.991697,0.991697,62103
2018-07-26,0.990879,1.001170,0.963972,0.990584,0.990584,3605
2018-07-27,0.990788,1.005930,0.935169,0.991763,0.991763,43837
2018-07-28,0.996446,1.002100,0.990617,0.992082,0.992082,22539
2018-07-29,0.989725,0.999774,0.989060,0.992712,0.992712,35068
2018-07-30,0.992084,1.009860,0.984847,0.994096,0.994096,5345
2018-07-31,0.995515,1.036710,0.986585,0.994116,0.994116,6866
2018-08-01,0.993689,1.009050,0.987457,1.009020,1.009020,12680
2018-08-02,1.009430,1.009430,0.989781,0.998780,0.998780,4765
2018-08-03,0.998571,1.008100,0.984439,1.000600,1.000600,7015
2018-08-04,1.000690,1.004640,0.981314,0.999301,0.999301,6293
2018-08-05,0.999220,1.010110,0.991499,1.002740,1.002740,2841
2018-08-06,1.003900,1.010010,0.992203,1.002350,1.002350,8904
2018-08-07,1.001440,1.016240,0.962609,0.989697,0.989697,39786
2018-08-08,0.988662,1.010620,0.973259,1.000680,1.000680,119406
2018-08-09,0.999849,1.006470,0.987430,1.002760,1.002760,40074
2018-08-10,1.001240,1.016180,0.975146,0.998491,0.998491,57891
2018-08-11,0.999001,1.008670,0.989727,1.002790,1.002790,83977
2018-08-12,1.005030,1.008020,0.986626,0.995955,0.995955,46775
2018-08-13,1.000330,1.016550,0.943202,0.998119,0.998119,34474
2018-08-14,0.997657,1.000980,0.819066,0.986398,0.986398,33268
2018-08-15,0.989074,1.018490,0.974173,1.000560,1.000560,10035
2018-08-16,1.001690,1.016370,0.990487,0.990487,0.990487,38224
2018-08-17,0.988602,1.009290,0.981003,0.997629,0.997629,69381
2018-08-18,0.995204,1.007340,0.979504,0.982066,0.982066,12203
2018-08-19,1.001680,1.006510,0.989651,0.999576,0.999576,68602
2018-08-20,1.000690,1.008630,0.976037,0.992269,0.992269,21943
2018-08-21,0.993392,1.006050,0.965011,1.000690,1.000690,35291
2018-08-22,1.000170,1.005370,0.979493,0.979696,0.979696,76994
2018-08-23,0.996340,1.001430,0.977478,0.988674,0.988674,67880
2018-08-24,0.988584,1.005290,0.982550,0.999359,0.999359,158568
2018-08-25,0.996822,1.004340,0.977162,0.998924,0.998924,136663
2018-08-26,0.996364,1.002730,0.979499,0.993671,0.993671,93302
2018-08-27,0.994401,0.999928,0.982973,0.988008,0.988008,130974
2018-08-28,0.991984,1.000680,0.981609,0.993051,0.993051,168237
2018-08-29,0.995941,0.998840,0.982324,0.994964,0.994964,111576
2018-08-30,0.994736,1.001950,0.980881,0.990598,0.990598,134832
2018-08-31,0.995088,1.000160,0.979509,0.991960,0.991960,132068
2018-09-01,0.992147,1.001270,0.979102,0.991210,0.991210,158314
2018-09-02,0.991715,0.996398,0.973046,0.985579,0.985579,61061
2018-09-03,0.985475,0.997982,0.980095,0.987824,0.987824,122767
2018-09-04,0.988128,0.998966,0.974900,0.992575,0.992575,124882
2018-09-05,0.992454,1.018390,0.979223,1.006940,1.006940,206996
2018-09-06,1.007250,1.023960,0.990619,1.001150,1.001150,231469
2018-09-07,1.000460,1.003020,0.970113,0.993296,0.993296,106037
2018-09-08,0.991962,1.005800,0.979038,0.996087,0.996087,36802
2018-09-09,0.990887,1.008160,0.970475,0.999598,0.999598,131416
2018-09-10,0.999434,1.003320,0.985645,1.000100,1.000100,123429
2018-09-11,0.999553,1.015270,0.987498,1.000470,1.000470,106928
2018-09-12,0.994791,1.007700,0.989398,0.994785,0.994785,181252
2018-09-13,0.998040,1.004650,0.950869,0.997974,0.997974,148307
2018-09-14,0.996208,1.009370,0.984172,0.995139,0.995139,185976
2018-09-15,0.998090,1.002440,0.981804,0.999810,0.999810,159846
2018-09-16,0.998046,1.005670,0.982293,0.996994,0.996994,172860
2018-09-17,0.994225,1.004600,0.985115,1.000510,1.000510,173274
2018-09-18,1.005720,1.005720,0.985517,0.999083,0.999083,158225
2018-09-19,0.997986,1.004200,0.966053,0.994267,0.994267,139799
2018-09-20,0.995268,1.002080,0.986333,0.993031,0.993031,128099
2018-09-21,0.999745,1.017080,0.977187,0.987378,0.987378,170134
2018-09-22,0.993098,1.004110,0.976558,0.990255,0.990255,170545
2018-09-23,0.994100,1.002020,0.980194,0.996298,0.996298,155259
2018-09-24,0.996980,0.999124,0.978791,0.994872,0.994872,99835
2018-09-25,0.995672,1.002540,0.986254,0.991778,0.991778,94043
2018-09-26,0.995942,1.001280,0.983765,0.993892,0.993892,88564
2018-09-27,0.994826,1.002970,0.978712,0.998017,0.998017,151304
2018-09-28,0.994567,1.008350,0.985518,0.992649,0.992649,129095
2018-09-29,0.993710,1.003250,0.974154,0.997447,0.997447,131590
2018-09-30,0.998369,1.000180,0.973919,0.995963,0.995963,83184
2018-10-01,0.993115,0.999056,0.984236,0.997999,0.997999,114074
2018-10-02,0.996264,1.001600,0.985998,1.000050,1.000050,129068
2018-10-03,0.999075,1.012300,0.985372,0.992712,0.992712,209567
2018-10-04,0.997347,1.000570,0.978871,0.989776,0.989776,227631
2018-10-05,0.992383,1.001510,0.979332,0.988868,0.988868,212997
2018-10-06,0.992573,0.996591,0.976084,0.988043,0.988043,184814
2018-10-07,0.992048,0.996859,0.978354,0.991784,0.991784,210408
2018-10-08,0.992406,0.996972,0.981261,0.989681,0.989681,162899
2018-10-09,0.989935,0.991828,0.981402,0.989303,0.989303,115793
2018-10-10,0.983643,0.994923,0.980831,0.983419,0.983419,177047
2018-10-11,0.985933,1.003550,0.977374,0.996893,0.996893,192221
2018-10-12,0.990144,0.998876,0.980061,0.989439,0.989439,246380
2018-10-13,0.990672,0.996281,0.969870,0.984507,0.984507,205011
2018-10-14,0.983279,0.992588,0.974551,0.987356,0.987356,221854
2018-10-15,0.984746,1.029240,0.946818,1.007970,1.007970,258724
2018-10-16,1.009940,1.022100,0.968050,0.980803,0.980803,227248
2018-10-17,0.984639,1.003660,0.961500,0.995633,0.995633,75197
2018-10-18,1.000500,1.004290,0.981602,0.988766,0.988766,94859
2018-10-19,0.991369,1.000840,0.987646,0.993779,0.993779,45992
2018-10-20,0.995531,1.000440,0.981838,0.990605,0.990605,15894
2018-10-21,0.991130,1.004200,0.962985,0.999795,0.999795,52964
2018-10-22,0.998382,1.003160,0.987721,0.988416,0.988416,1359
2018-10-23,0.988364,1.004960,0.981090,1.003460,1.003460,150730
2018-10-24,0.997954,1.009420,0.992462,0.997678,0.997678,262126
2018-10-25,0.995985,1.005810,0.990082,0.997862,0.997862,240608
2018-10-26,0.993588,1.005450,0.988356,1.000260,1.000260,199680
2018-10-27,0.998733,1.010930,0.996659,1.003700,1.003700,162487
2018-10-28,1.007670,1.007670,0.993895,1.001360,1.001360,210033
2018-10-29,1.000590,1.005560,0.989971,0.998286,0.998286,189983
2018-10-30,0.996390,1.001350,0.988322,0.999642,0.999642,114280
2018-10-31,1.000560,1.002460,0.986197,0.991367,0.991367,106800
2018-11-01,0.991368,1.083440,0.988993,1.001890,1.001890,68777
2018-11-02,1.001890,1.001890,0.964073,0.995153,0.995153,37598
2018-11-03,0.994164,1.001470,0.986907,0.997823,0.997823,28795
2018-11-04,0.997815,1.000320,0.944144,0.986195,0.986195,27442
2018-11-05,0.985686,1.003850,0.957869,0.993181,0.993181,56288
