Date,Open,High,Low,Close,Adj Close,Volume
2021-09-30,1.013137,1.013526,0.970260,0.999309,0.999309,5208025
2021-10-01,0.999330,1.005988,0.998651,0.999829,0.999829,3544174
2021-10-02,0.999797,1.002879,0.998736,1.000278,1.000278,386930
2021-10-03,1.000275,1.019345,0.978222,1.000977,1.000977,1258271
2021-10-04,1.000780,1.003771,0.996336,1.002522,1.002522,2206347
2021-10-05,1.002543,1.015747,0.998396,1.014803,1.014803,3744484
2021-10-06,1.014693,1.018496,0.995431,1.000130,1.000130,4284310
2021-10-07,1.000185,1.057639,0.988765,1.034731,1.034731,3914031
2021-10-08,1.034979,1.038769,1.000778,1.005079,1.005079,2716714
2021-10-09,1.005113,1.008900,0.995642,1.001034,1.001034,4904826
2021-10-10,1.000751,1.019785,0.989494,0.997621,0.997621,6545358
2021-10-11,0.997708,1.006655,0.994571,1.003655,1.003655,29539384
2021-10-12,1.003691,1.003819,0.999385,1.002549,1.002549,43596847
2021-10-13,1.002587,1.004210,1.001400,1.002339,1.002339,17616166
2021-10-14,1.002318,1.003849,1.002035,1.002142,1.002142,81518759
2021-10-15,1.002143,1.003483,1.000792,1.000980,1.000980,84539891
2021-10-16,1.001001,1.002072,1.000823,1.001999,1.001999,50330556
2021-10-17,1.001984,1.002119,1.000984,1.001838,1.001838,33257504
2021-10-18,1.001837,1.002333,1.001055,1.001588,1.001588,34196116
2021-10-19,1.001539,1.002348,1.000841,1.001314,1.001314,46924849
2021-10-20,1.001298,1.001728,1.000223,1.000352,1.000352,177544734
2021-10-21,1.000419,1.000676,0.999641,1.000305,1.000305,56934941
2021-10-22,1.000355,1.000904,0.999785,1.000591,1.000591,33246503
2021-10-23,1.000572,1.001506,1.000337,1.001506,1.001506,45250328
2021-10-24,1.001489,1.001713,0.999813,1.001028,1.001028,50507230
2021-10-25,1.000951,1.001642,0.999897,1.000265,1.000265,45066505
2021-10-26,1.000268,1.001525,1.000216,1.000932,1.000932,86219216
2021-10-27,1.000942,1.001750,1.000000,1.001147,1.001147,66255127
2021-10-28,1.001125,1.001292,1.000387,1.000443,1.000443,137854130
2021-10-29,1.000496,1.001038,0.999564,1.000203,1.000203,146502345
2021-10-30,1.000216,1.001181,0.999648,1.000438,1.000438,105646883
2021-10-31,1.000479,1.001789,0.999517,1.000305,1.000305,51275664
2021-11-01,1.000212,1.001434,0.999688,1.000597,1.000597,54172170
2021-11-02,1.000559,1.001893,1.000113,1.001106,1.001106,68308319
2021-11-03,1.001121,1.001737,1.000586,1.001006,1.001006,69511106
2021-11-04,1.001002,1.001880,1.000823,1.001542,1.001542,110157101
2021-11-05,1.001499,1.002105,1.001132,1.001539,1.001539,120883048
2021-11-06,1.001529,1.001616,1.000479,1.001267,1.001267,91638461
2021-11-07,1.001370,1.002588,1.001027,1.002141,1.002141,92307831
2021-11-08,1.002192,1.002298,1.001174,1.001430,1.001430,250663795
2021-11-09,1.001411,1.001957,1.000983,1.001346,1.001346,189728251
2021-11-10,1.001330,1.060028,0.941747,0.973640,0.973640,239256509
2021-11-11,0.973718,1.050281,0.973718,1.002352,1.002352,176792946
2021-11-12,1.002530,1.048176,0.980254,1.001618,1.001618,127538173
2021-11-13,1.001766,1.039655,0.995452,1.003722,1.003722,194752913
2021-11-14,1.003750,1.045980,0.987818,1.003348,1.003348,96543254
2021-11-15,1.003439,1.049710,0.995527,1.001735,1.001735,163229798
2021-11-16,1.001869,2.018368,0.991390,1.003871,1.003871,266458161
2021-11-17,1.004211,1.216025,0.997429,1.001615,1.001615,422330769
2021-11-18,1.001569,1.023861,0.980479,1.000529,1.000529,387077526
2021-11-19,1.000791,1.011034,0.992887,1.002592,1.002592,185578383
2021-11-20,1.003405,1.017011,0.989806,1.001697,1.001697,177682691
2021-11-21,1.001715,1.029010,0.976072,1.000101,1.000101,233029420
2021-11-22,0.997201,1.022450,0.988784,1.001107,1.001107,317765925
2021-11-23,1.001067,1.019685,0.987475,1.001627,1.001627,240305135
2021-11-24,1.001559,1.020709,0.987943,1.000250,1.000250,230716557
2021-11-25,0.998258,1.015232,0.989138,1.001581,1.001581,381858837
2021-11-26,0.999769,1.026439,0.991413,1.002221,1.002221,297887210
2021-11-27,1.001537,1.006336,0.996224,1.001932,1.001932,174782322
2021-11-28,1.002382,1.003804,0.995795,0.998964,0.998964,189613684
2021-11-29,0.998689,1.005685,0.994593,1.000016,1.000016,186032149
2021-11-30,1.000307,1.003919,0.995129,0.999134,0.999134,225433834
2021-12-01,0.998979,1.010445,0.994568,1.000263,1.000263,341553332
2021-12-02,1.000361,1.004266,0.995914,0.999172,0.999172,374529063
2021-12-03,0.999635,1.008254,0.996624,1.000565,1.000565,415316468
2021-12-04,1.000452,1.020666,0.993673,0.999690,0.999690,619128497
2021-12-05,0.999919,1.004791,0.996106,0.999650,0.999650,336000886
2021-12-06,1.000051,1.003792,0.995958,1.000470,1.000470,535593570
2021-12-07,1.000459,1.006402,0.996871,1.003355,1.003355,322807101
2021-12-08,1.003394,1.007579,0.994601,1.000383,1.000383,319190990
