Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,1.010590,1.193390,0.967973,1.008780,1.008780,982169
2017-11-10,1.011910,1.038000,0.908239,0.958877,0.958877,219703
2017-11-11,0.955173,0.997614,0.930355,0.988044,0.988044,153323
2017-11-12,0.983027,0.993885,0.882796,0.959533,0.959533,203401
2017-11-13,0.959516,1.037080,0.936024,1.033960,1.033960,143273
2017-11-14,1.036140,1.084040,0.961523,1.033580,1.033580,237208
2017-11-15,1.035840,1.067680,0.985610,1.012820,1.012820,189783
2017-11-16,1.018130,1.032060,0.966462,0.982261,0.982261,80687
2017-11-17,0.980650,1.022900,0.935540,0.966505,0.966505,142659
2017-11-18,0.962804,1.015880,0.945909,1.001550,1.001550,75786
2017-11-19,0.999690,1.010840,0.959847,0.963691,0.963691,86577
2017-11-20,0.963122,1.011010,0.960025,0.993967,0.993967,65953
2017-11-21,0.996940,1.005420,0.927019,0.955665,0.955665,71780
2017-11-22,0.951158,3.016210,0.948523,1.684260,1.684260,23440900
2017-11-23,1.672750,1.672750,1.321090,1.377340,1.377340,1565610
2017-11-24,1.376210,1.376210,1.209850,1.270080,1.270080,622332
2017-11-25,1.267880,1.958880,1.267880,1.673160,1.673160,5825160
2017-11-26,1.660180,1.660180,1.469890,1.613670,1.613670,810629
2017-11-27,1.592440,1.959660,1.585460,1.673380,1.673380,1572120
2017-11-28,1.683880,1.763450,1.525350,1.545260,1.545260,842989
2017-11-29,1.539610,1.575760,1.218790,1.229290,1.229290,607306
2017-11-30,1.248450,1.403190,1.198500,1.295390,1.295390,659341
2017-12-01,1.278680,1.583110,1.252970,1.514740,1.514740,992520
2017-12-02,1.515720,2.544870,1.514150,2.368650,2.368650,4818630
2017-12-03,2.348190,2.590830,2.140330,2.292450,2.292450,2604120
2017-12-04,2.300630,2.447740,2.187960,2.360880,2.360880,733829
2017-12-05,2.365520,3.076400,2.232840,2.701040,2.701040,2987790
2017-12-06,2.682550,3.747560,2.576550,2.957810,2.957810,8587180
2017-12-07,3.416060,8.110890,3.372790,5.599300,5.599300,2066390
2017-12-08,5.898140,9.841230,5.225680,7.864180,7.864180,5879620
2017-12-09,7.874810,7.933040,5.401750,5.534060,5.534060,940336
2017-12-10,5.492170,14.037200,4.703940,7.158840,7.158840,952096
2017-12-11,7.209380,9.050720,6.516320,6.547060,6.547060,812923
2017-12-12,6.563200,6.763960,5.601350,5.604520,5.604520,298090
2017-12-13,5.608820,6.047870,5.151830,5.364130,5.364130,205400
2017-12-14,5.377020,10.491900,5.161570,10.400500,10.400500,3052290
2017-12-15,10.178100,11.058600,8.471250,10.633800,10.633800,3777910
2017-12-16,10.561300,11.639000,10.303100,11.123500,11.123500,3107160
2017-12-17,11.148100,11.869400,10.744300,11.291300,11.291300,3632490
2017-12-18,11.295300,14.591200,10.924300,13.247300,13.247300,7178960
2017-12-19,13.250600,16.169701,12.047400,13.759200,13.759200,6265100
2017-12-20,13.679100,13.732200,9.681220,13.622200,13.622200,8696960
2017-12-21,13.363800,15.378600,12.208900,13.346700,13.346700,4847670
2017-12-22,13.407500,13.622400,6.572230,8.995880,8.995880,3999570
2017-12-23,9.055400,10.574200,8.472670,9.497780,9.497780,3203610
2017-12-24,10.527100,11.552900,8.093780,9.849310,9.849310,3363970
2017-12-25,9.680130,9.887980,8.835980,9.876830,9.876830,2208790
2017-12-26,9.927800,10.130800,8.918850,9.540150,9.540150,2257980
2017-12-27,9.357850,9.501810,8.569800,9.071040,9.071040,1385380
2017-12-28,8.964100,9.001610,7.089590,7.919700,7.919700,1524880
2017-12-29,8.003610,8.920990,7.497730,8.366790,8.366790,2509390
2017-12-30,9.014730,9.014730,6.727160,7.153120,7.153120,2013500
2017-12-31,7.070230,7.806350,6.869530,7.671560,7.671560,1054890
2018-01-01,7.618280,9.141120,7.282770,8.479950,8.479950,5135520
2018-01-02,8.612220,10.971700,8.478200,10.367900,10.367900,8672010
2018-01-03,9.911390,11.294200,9.305980,10.249100,10.249100,4377180
2018-01-04,10.172800,10.189700,8.744050,9.016900,9.016900,3616820
2018-01-05,8.806680,9.116130,7.416360,7.610010,7.610010,2760940
2018-01-06,7.597900,8.904930,6.821880,8.037530,8.037530,4057590
2018-01-07,8.199580,8.927110,7.783880,8.420260,8.420260,4273490
2018-01-08,8.407230,8.894440,6.870850,7.717080,7.717080,3625550
2018-01-09,7.842680,8.465710,7.443670,7.818510,7.818510,2726680
2018-01-10,7.835920,7.835920,6.394020,7.070870,7.070870,1892090
2018-01-11,6.918030,6.918030,4.671680,5.555140,5.555140,2945380
2018-01-12,5.951620,6.830600,5.258780,6.232060,6.232060,1894260
2018-01-13,6.253070,7.347960,6.253070,6.833120,6.833120,1977820
2018-01-14,6.834310,6.834310,5.656790,5.909330,5.909330,1052270
2018-01-15,7.222030,7.222030,6.015000,6.263310,6.263310,18106800
2018-01-16,6.187700,6.187700,3.197920,4.127470,4.127470,9544260
2018-01-17,4.065820,4.430150,2.957530,3.994860,3.994860,7588490
2018-01-18,3.980980,4.461610,3.722730,4.218690,4.218690,5671490
2018-01-19,4.180580,6.048090,4.090710,5.493090,5.493090,40610900
2018-01-20,5.447780,7.601150,5.447780,7.151190,7.151190,169135008
2018-01-21,8.063230,8.470820,6.885490,8.470820,8.470820,286824992
2018-01-22,8.420380,8.420380,6.338630,7.091710,7.091710,109478000
2018-01-23,6.893740,6.893740,5.819710,6.659150,6.659150,51389000
2018-01-24,6.959730,7.787400,6.162850,7.372940,7.372940,141803008
2018-01-25,7.401470,7.594970,6.950610,7.227600,7.227600,52216800
2018-01-26,7.242200,7.242200,5.782160,6.678750,6.678750,28057800
2018-01-27,7.019470,7.243320,6.676430,6.946360,6.946360,51550800
2018-01-28,6.863080,7.423150,6.750400,7.423150,7.423150,19274800
2018-01-29,7.408250,7.408250,6.688370,6.806560,6.806560,9829860
2018-01-30,6.806660,6.806660,5.093400,5.151980,5.151980,10428300
2018-01-31,5.066500,5.727660,4.276960,5.394290,5.394290,23086400
2018-02-01,5.291400,5.542400,4.197770,4.333570,4.333570,16409100
2018-02-02,4.442050,4.487310,2.535970,3.962520,3.962520,26647700
2018-02-03,4.146180,4.233510,3.224400,4.026820,4.026820,15034200
2018-02-04,3.928630,4.151080,3.279610,3.402380,3.402380,8699950
2018-02-05,3.427000,3.702170,2.750990,2.853030,2.853030,7439840
2018-02-06,2.843120,3.386310,2.357320,3.298350,3.298350,21900100
2018-02-07,3.204520,3.489580,2.963300,3.094620,3.094620,11386700
2018-02-08,3.136490,3.498400,3.076890,3.405070,3.405070,8887610
2018-02-09,3.313240,4.129380,3.313240,4.110580,4.110580,22083100
2018-02-10,4.093610,5.827850,4.093610,4.980500,4.980500,99757104
2018-02-11,5.141720,5.141720,4.259470,4.517990,4.517990,28403800
2018-02-12,4.639350,4.948660,4.522800,4.948660,4.948660,22389700
2018-02-13,5.172280,5.329360,4.692420,5.188870,5.188870,47160900
2018-02-14,5.129840,5.537940,5.008430,5.490070,5.490070,43367200
2018-02-15,5.783000,5.863130,5.307250,5.863130,5.863130,47268600
2018-02-16,5.770090,5.830500,5.511920,5.770300,5.770300,21670200
2018-02-17,5.698280,5.795780,5.403630,5.743740,5.743740,23465300
2018-02-18,5.812710,5.812710,5.063290,5.352490,5.352490,25820900
2018-02-19,5.343340,5.604980,5.189030,5.596720,5.596720,24207500
2018-02-20,5.560040,5.560040,5.185380,5.254500,5.254500,18252400
2018-02-21,5.107320,5.162120,4.639460,4.867530,4.867530,11113900
2018-02-22,4.697500,4.764590,4.128050,4.256330,4.256330,9351760
2018-02-23,4.188510,4.416050,3.719690,4.392010,4.392010,15148000
2018-02-24,4.387580,4.472490,4.006710,4.130590,4.130590,6855430
2018-02-25,4.086230,4.086230,3.734920,4.042080,4.042080,3730380
2018-02-26,3.954200,4.144750,3.768390,4.144750,4.144750,5017710
2018-02-27,4.064080,4.070050,3.873700,3.967660,3.967660,4188660
2018-02-28,3.888890,3.889030,3.627170,3.666120,3.666120,2821470
2018-03-01,3.638870,3.917580,3.346590,3.793150,3.793150,7693680
2018-03-02,3.722670,3.722670,3.493550,3.582160,3.582160,4505730
2018-03-03,3.566880,3.761780,3.520070,3.717520,3.717520,5762840
2018-03-04,3.710300,3.710300,3.518920,3.630980,3.630980,2201130
2018-03-05,3.590010,3.826930,3.485090,3.730080,3.730080,6461860
2018-03-06,3.673330,3.728970,3.439280,3.466230,3.466230,3162750
2018-03-07,3.452950,3.530930,2.854480,2.930990,2.930990,3873320
2018-03-08,2.951700,3.049180,2.658840,2.658840,2.658840,2523660
2018-03-09,2.657770,2.700460,2.274830,2.621510,2.621510,2852570
2018-03-10,2.625900,2.692720,2.394360,2.421710,2.421710,1550030
2018-03-11,2.402920,2.756460,2.274350,2.641100,2.641100,3012990
2018-03-12,2.607310,2.756780,2.492770,2.583740,2.583740,2452970
2018-03-13,2.652980,2.738090,2.544540,2.673850,2.673850,4388570
2018-03-14,2.675220,3.074380,2.371330,2.603140,2.603140,9998230
2018-03-15,2.570940,2.570940,2.089080,2.338800,2.338800,4153580
2018-03-16,2.328460,2.342410,2.131950,2.211490,2.211490,1599530
2018-03-17,2.211660,2.217320,1.883630,1.928940,1.928940,1263230
2018-03-18,1.927700,1.930930,1.549140,1.893170,1.893170,2071930
2018-03-19,1.913360,2.184660,1.841270,2.180980,2.180980,3859130
2018-03-20,2.193440,2.559020,2.064560,2.312470,2.312470,10829900
2018-03-21,2.291290,2.378230,2.198890,2.274570,2.274570,2695110
2018-03-22,2.286750,2.365990,2.096160,2.201770,2.201770,2016830
2018-03-23,2.175640,2.291100,1.922170,2.042500,2.042500,3107880
2018-03-24,2.006620,2.209290,1.961380,2.021510,2.021510,6538410
2018-03-25,2.009770,2.063000,1.978080,2.035550,2.035550,1450420
2018-03-26,2.023980,2.040380,1.765370,1.849380,1.849380,1723250
2018-03-27,1.842610,1.927780,1.655170,1.729810,1.729810,1692800
2018-03-28,1.714970,1.829230,1.685260,1.792450,1.792450,1233260
2018-03-29,1.809940,1.809940,1.627760,1.652480,1.652480,948037
2018-03-30,1.647440,1.660410,1.498300,1.573900,1.573900,1031810
2018-03-31,1.589590,1.622270,1.549570,1.570260,1.570260,565708
2018-04-01,1.584840,1.592600,1.392050,1.448360,1.448360,775447
2018-04-02,1.455270,1.732970,1.428680,1.709740,1.709740,3351580
2018-04-03,1.699700,3.186220,1.605540,2.502970,2.502970,117941000
2018-04-04,2.397930,2.905310,2.252120,2.565580,2.565580,59980600
2018-04-05,2.535580,2.535580,1.901140,2.087480,2.087480,18323000
2018-04-06,2.074150,2.133460,1.759040,1.907080,1.907080,7413960
2018-04-07,1.888920,2.094020,1.813980,1.991040,1.991040,8955200
2018-04-08,1.977110,2.068500,1.932760,2.068500,2.068500,5615470
2018-04-09,2.037080,2.149510,1.891950,1.972780,1.972780,6585810
2018-04-10,1.961250,1.961250,1.841360,1.947060,1.947060,2363550
2018-04-11,1.931290,2.019370,1.902160,1.995480,1.995480,2675260
2018-04-12,1.987930,2.447670,1.906170,2.377740,2.377740,37472500
2018-04-13,2.405240,2.996170,2.354450,2.423910,2.423910,43896200
2018-04-14,2.393950,2.445380,2.265920,2.378300,2.378300,5107900
2018-04-15,2.366170,2.549560,2.363790,2.502120,2.502120,9590230
2018-04-16,2.529530,2.577890,2.356540,2.480650,2.480650,7802940
2018-04-17,2.492630,2.776970,2.434030,2.659020,2.659020,14054000
2018-04-18,2.876940,3.042920,2.674460,2.957770,2.957770,19924600
2018-04-19,2.912420,3.234680,2.812160,3.133030,3.133030,22737500
2018-04-20,3.256280,3.424950,2.844830,3.424950,3.424950,25824800
2018-04-21,3.431500,3.431500,3.012300,3.270150,3.270150,14178100
2018-04-22,3.257030,3.265090,3.100820,3.226990,3.226990,8803640
2018-04-23,3.177170,3.375580,3.158610,3.336130,3.336130,10475600
2018-04-24,3.297000,3.551180,3.292980,3.531000,3.531000,18618200
2018-04-25,3.481730,3.975150,2.985570,3.776230,3.776230,66725200
2018-04-26,3.593990,3.649250,3.102940,3.619570,3.619570,26853700
2018-04-27,3.625310,3.759610,3.357480,3.543110,3.543110,19990600
2018-04-28,3.495130,3.695040,3.495130,3.668470,3.668470,11685400
2018-04-29,3.655580,3.655580,3.280740,3.545540,3.545540,9670100
2018-04-30,3.532760,3.532760,3.305640,3.333850,3.333850,6132360
