Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,0.977812,1.000884,0.972175,0.973787,0.973787,38346
2020-01-31,0.973876,1.003059,0.966024,0.984484,0.984484,38018
2020-02-01,0.983840,0.990041,0.974928,0.988545,0.988545,49867
2020-02-02,0.988748,1.020300,0.961516,0.972831,0.972831,98236
2020-02-03,0.972831,0.989577,0.968541,0.985911,0.985911,52796
2020-02-04,0.985824,0.987862,0.962938,0.985183,0.985183,65126
2020-02-05,0.985239,0.992347,0.980623,0.988408,0.988408,55713
2020-02-06,0.988408,0.995443,0.974011,0.988389,0.988389,51828
2020-02-07,0.992089,1.010115,0.982707,0.994897,0.994897,79043
2020-02-08,0.994785,1.204237,0.953663,0.980871,0.980871,97423
2020-02-09,0.980871,1.014983,0.734294,0.993283,0.993283,77551
2020-02-10,0.993323,1.013541,0.968821,0.976059,0.976059,80278
2020-02-11,0.970397,1.004021,0.905989,0.943781,0.943781,518835
2020-02-12,0.944151,0.987055,0.903978,0.977792,0.977792,61694
2020-02-13,0.977792,0.987615,0.946016,0.975956,0.975956,60528
2020-02-14,0.975975,0.989273,0.956675,0.974729,0.974729,62910
2020-02-15,0.974729,0.991670,0.953706,0.977876,0.977876,64832
2020-02-16,0.978005,0.988650,0.919798,0.939766,0.939766,206878
2020-02-17,0.940252,0.955099,0.916741,0.950057,0.950057,178854
2020-02-18,0.949557,1.002838,0.940183,0.999395,0.999395,175433
2020-02-19,1.000099,1.029401,0.990687,1.001101,1.001101,48300
2020-02-20,1.001836,1.012344,0.995972,1.000579,1.000579,51835
2020-02-21,0.999963,1.005811,0.993375,1.002224,1.002224,38304
2020-02-22,1.004117,1.007114,0.997936,1.001549,1.001549,38869
2020-02-23,1.001549,1.003410,0.991780,0.997518,0.997518,32569
2020-02-24,0.997225,1.008713,0.992642,0.998667,0.998667,33650
2020-02-25,0.999233,1.012033,0.992452,0.997815,0.997815,40470
2020-02-26,0.997390,1.009302,0.994632,1.002396,1.002396,37132
2020-02-27,1.002972,1.019114,0.986209,0.997599,0.997599,22284
2020-02-28,0.998303,1.015365,0.986327,0.988545,0.988545,43551
2020-02-29,0.990113,0.999843,0.987930,0.990497,0.990497,38446
2020-03-01,0.990273,1.048283,0.965644,0.966142,0.966142,82749
2020-03-02,0.966217,1.057604,0.959667,0.999016,0.999016,62155
2020-03-03,0.998358,1.001953,0.990358,0.997466,0.997466,53180
2020-03-04,0.997472,1.011030,0.975107,1.002006,1.002006,37697
2020-03-05,1.002089,1.024014,0.991351,1.019527,1.019527,30496
2020-03-06,1.019527,1.031902,0.985655,1.002488,1.002488,50958
2020-03-07,1.002185,1.009752,0.985765,0.986072,0.986072,35208
2020-03-08,0.986072,1.012594,0.959092,0.975293,0.975293,18762
2020-03-09,0.974737,1.010360,0.974737,1.008034,1.008034,14461
2020-03-10,1.008836,1.011206,0.991115,0.999773,0.999773,15084
2020-03-11,1.002206,1.006999,0.992122,0.997098,0.997098,17304
2020-03-12,0.996513,1.075939,0.953815,1.026750,1.026750,30555
2020-03-13,1.021377,1.094511,0.857067,0.996618,0.996618,28539
2020-03-14,0.997185,1.009602,0.988930,0.998162,0.998162,14736
2020-03-15,0.998162,1.026047,0.989648,1.002236,1.002236,22666
2020-03-16,1.001584,1.032333,0.950952,0.998079,0.998079,16022
2020-03-17,0.998292,1.013100,0.948804,0.969715,0.969715,14628
2020-03-18,0.964684,1.017732,0.959866,0.975752,0.975752,17125
2020-03-19,0.975752,1.012013,0.955420,1.004125,1.004125,23692
2020-03-20,1.004131,1.034169,0.964925,1.007922,1.007922,31512
2020-03-21,1.007922,1.021426,0.979105,1.001542,1.001542,17500
2020-03-22,1.001617,1.018005,0.973273,0.973273,0.973273,20328
2020-03-23,0.973273,1.023979,0.963461,1.000607,1.000607,20982
2020-03-24,1.000999,1.024552,0.987857,0.999501,0.999501,24027
2020-03-25,0.999389,1.018448,0.977875,1.005799,1.005799,51102
2020-03-26,1.005799,1.010279,0.990206,0.994971,0.994971,26250
2020-03-27,0.993952,1.009668,0.986444,0.986581,0.986581,31672
2020-03-28,0.986764,1.025153,0.966667,0.994782,0.994782,33240
2020-03-29,0.994850,1.006969,0.985129,1.005975,1.005975,19659
2020-03-30,1.004779,1.026964,0.975285,1.005789,1.005789,61780
2020-03-31,1.004925,1.029713,0.970655,1.024792,1.024792,55374
2020-04-01,1.024792,1.053397,0.964242,0.999882,0.999882,60122
2020-04-02,1.002159,1.031655,0.979485,1.005696,1.005696,31528
2020-04-03,1.006124,1.032203,0.983183,0.987709,0.987709,35291
2020-04-04,0.987703,1.020973,0.978742,1.006171,1.006171,53761
2020-04-05,1.006022,1.009594,0.984952,1.008846,1.008846,29013
2020-04-06,1.008946,1.025888,0.985894,0.995005,0.995005,45460
2020-04-07,0.995776,1.038180,0.979201,0.992500,0.992500,43986
2020-04-08,0.992151,1.022517,0.986160,0.998899,0.998899,55633
2020-04-09,0.998096,1.016055,0.984153,0.999598,0.999598,98505
2020-04-10,0.999277,1.013219,0.978618,0.992373,0.992373,43474
2020-04-11,0.992373,1.023757,0.980924,1.022284,1.022284,132869
2020-04-12,1.021869,1.042595,1.005253,1.042595,1.042595,14940
2020-04-13,1.043479,1.048761,0.994389,1.004685,1.004685,96364
2020-04-14,1.004685,1.173923,0.991699,0.992729,0.992729,995496
2020-04-15,0.992423,1.005762,0.985369,0.998999,0.998999,510351
2020-04-16,0.999186,1.007456,0.982205,1.002089,1.002089,375976
2020-04-17,1.001326,1.007407,0.995297,1.006025,1.006025,631722
2020-04-18,1.006025,1.007765,0.993669,0.999032,0.999032,908435
2020-04-19,0.999249,1.014138,0.997787,1.008301,1.008301,753733
2020-04-20,1.008260,1.013678,0.997029,1.005524,1.005524,914765
2020-04-21,1.005593,1.009964,0.986185,0.996976,0.996976,850832
2020-04-22,0.994950,1.006282,0.988891,0.999668,0.999668,1076390
2020-04-23,0.996688,1.004890,0.973684,0.997296,0.997296,1080330
2020-04-24,0.997174,1.007749,0.988340,1.004609,1.004609,1168807
2020-04-25,1.004450,1.009625,0.992010,1.005448,1.005448,926718
2020-04-26,1.005056,1.009903,0.985052,0.989626,0.989626,890699
2020-04-27,0.989735,1.014432,0.987021,1.001843,1.001843,1469316
2020-04-28,1.000799,1.018517,0.995602,1.005429,1.005429,1070332
2020-04-29,1.005423,1.009281,0.989622,1.002995,1.002995,1574021
2020-04-30,1.002944,1.009337,0.988806,1.001860,1.001860,1581905
2020-05-01,1.001860,1.009055,0.991495,1.005447,1.005447,983629
2020-05-02,1.005232,1.009888,0.993545,1.002076,1.002076,1195068
2020-05-03,1.001421,1.009733,0.995239,1.001370,1.001370,1742271
2020-05-04,1.000284,1.012061,0.995224,1.001962,1.001962,1340514
2020-05-05,1.002293,1.007925,0.994535,0.998244,0.998244,1085148
2020-05-06,0.997303,1.010144,0.994971,1.010144,1.010144,962577
2020-05-07,1.010144,1.013587,0.987532,0.993374,0.993374,1243315
2020-05-08,0.993374,1.007098,0.991439,0.998418,0.998418,857790
2020-05-09,0.998863,1.003887,0.988081,1.002768,1.002768,715786
2020-05-10,1.002879,1.058671,0.986514,1.001052,1.001052,1136749
2020-05-11,1.001358,1.013539,0.974879,0.999495,0.999495,893061
2020-05-12,0.999071,1.005966,0.990535,0.999854,0.999854,1096401
2020-05-13,0.998799,1.007456,0.983524,0.997088,0.997088,998772
2020-05-14,0.997088,1.003429,0.983392,0.994832,0.994832,868904
2020-05-15,0.995078,1.014024,0.989126,1.002992,1.002992,730605
2020-05-16,1.002345,1.004074,0.993275,0.998900,0.998900,659142
2020-05-17,0.998667,1.002653,0.987324,0.999928,0.999928,787034
2020-05-18,1.000026,1.006762,0.988187,0.999116,0.999116,1048867
2020-05-19,0.998953,1.005472,0.986644,0.994721,0.994721,1009490
2020-05-20,0.994768,1.002602,0.988750,0.998542,0.998542,1513855
2020-05-21,0.998548,1.010183,0.980426,0.995532,0.995532,2493125
2020-05-22,0.995060,1.003953,0.991871,0.998349,0.998349,1558793
2020-05-23,0.998466,1.007273,0.989975,1.003908,1.003908,1585886
2020-05-24,1.004457,1.010040,0.994466,0.996489,0.996489,1972801
2020-05-25,0.996938,1.003203,0.991023,0.997437,0.997437,1753546
2020-05-26,0.997423,1.003954,0.990496,0.999143,0.999143,2365131
2020-05-27,0.999143,1.003087,0.992677,1.001159,1.001159,2062695
